,Name,Postal_Code,Coordinates,Venue Type
22,Tiong Bahru Market,168898,"[1.28508829297302, 103.832348811484]",Hawker Centre
23,Zion Riverside Food Centre,247792,"[1.29231113322494, 103.830973312857]",Hawker Centre
24,ABC Brickworks Market & Food Centre,150006,"[1.28674226360795, 103.808284856741]",Hawker Centre
25,Albert Centre Market & Food Centre,180270,"[1.30109180489625, 103.854121893196]",Hawker Centre
26,Alexandra Village Food Centre,150120,"[1.28629780818066, 103.804489336296]",Hawker Centre
27,Blk 1 Jalan Kukoh,161001,"[1.28825209188554, 103.839940269227]",Hawker Centre
28,Blk 105 Hougang Ave 1,530105,"[1.35384728545799, 103.890094154714]",Hawker Centre
29,Blk 11 Telok Blangah Crescent,090011,"[1.27736689793888, 103.818641701907]",Hawker Centre
30,Blk 112 Jalan Bukit Merah,160112,"[1.28000482954569, 103.826013281251]",Hawker Centre
31,Blk 115 Bukit Merah View,151115,"[1.28550483170444, 103.822049433334]",Hawker Centre
32,Blk 117 Aljunied Ave 2,380117,"[1.32078107690468, 103.886773528755]",Hawker Centre
33,Blk 127 Toa Payoh Lorong 1,310127,"[1.33804625287728, 103.844733922883]",Hawker Centre
34,Blk 137 Tampines Street 11,521137,"[1.34578611181876, 103.944588885295]",Hawker Centre
35,Blk 159 Mei Chin Road,140159,"[1.29323624252203, 103.802903940154]",Hawker Centre
36,Blk 16 Bedok South Road,460016,"[1.32055221938711, 103.935539171613]",Hawker Centre
37,Blk 163 Bukit Merah Central,150163,"[1.28388120820457, 103.816939544137]",Hawker Centre
38,Blk 17 Upper Boon Keng Road,380017,"[1.31502805737989, 103.871620321272]",Hawker Centre
39,Blk 20 Ghim Moh Road,270020,"[1.31091018371375, 103.788241408454]",Hawker Centre
40,Blk 208B New Upper Changi Road,462208,"[1.32481816551889, 103.930544296289]",Hawker Centre
41,Blk 210 Toa Payoh Lorong 8,310210,"[1.34021600857625, 103.85487256444]",Hawker Centre
42,Blk 216 Bedok North Street 1,460216,"[1.32704450702369, 103.933287000271]",Hawker Centre
43,Blk 22 Toa Payoh Lorong 7,310022,"[1.33523150124559, 103.857036086872]",Hawker Centre
44,Blk 226D Ang Mo Kio Ave 1,564226,"[1.36678769963049, 103.839231353384]",Hawker Centre
45,Blk 226H Ang Mo Kio Street 22,568226,"[1.36714406586352, 103.840149348885]",Hawker Centre
46,Blk 254 Jurong East Street 24,600254,"[1.34351625707381, 103.737851045986]",Hawker Centre
47,Blk 29 Bendemeer Road,330029,"[1.31921708867291, 103.863021454035]",Hawker Centre
48,Blk 320 Shunfu Road,570320,"[1.35190934934944, 103.836965293106]",Hawker Centre
49,Blk 341 Ang Mo Kio Ave 1,560341,"[1.36411995251564, 103.848220707925]",Hawker Centre
50,Blk 347 Jurong East Ave 1,600347,"[1.3454164813804, 103.73170393955]",Hawker Centre
51,Blk 353 Clementi Ave 2,120353,"[1.31438064686094, 103.770772811625]",Hawker Centre
52,Blk 36 Telok Blangah Rise,090036,"[1.27260703348585, 103.822028389533]",Hawker Centre
53,Blk 37A Teban Gardens Road,601037,"[1.32084835915788, 103.742891656231]",Hawker Centre
54,Blk 409 Ang Mo Kio Ave 10,560409,"[1.36272174657669, 103.855350672118]",Hawker Centre
55,Blk 44 Holland Drive,270044,"[1.30811780015992, 103.792773769613]",Hawker Centre
56,Blk 448 Clementi Ave 3,120448,"[1.31306036053189, 103.764521290707]",Hawker Centre
57,Blk 453A Ang Mo Kio Ave 10,561453,"[1.36821230806269, 103.856363056744]",Hawker Centre
58,Blk 49 Sims Place,380049,"[1.31708339145338, 103.879417039759]",Hawker Centre
59,Blk 4A Eunos Crescent,402004,"[1.32034062426809, 103.904331189796]",Hawker Centre
60,Blk 4A Jalan Batu,432004,"[1.30235422535987, 103.883979883516]",Hawker Centre
61,Blk 502 West  Coast Drive,120502,"[1.31188595916451, 103.75908093731]",Hawker Centre
62,Blk 503 West Coast Drive,120503,"[1.31174207466131, 103.75981203081]",Hawker Centre
63,Blk 505 Jurong West Street 52,640505,"[1.34964230218295, 103.718447549568]",Hawker Centre
64,Blk 50A Marine Terrace,441050,"[1.30577520401237, 103.915761992946]",Hawker Centre
65,Blk 51 Old Airport Road,390051,"[1.30825157753166, 103.885833296725]",Hawker Centre
66,Blk 511 Bedok North Street 3,460511,"[1.33330737545995, 103.930698473413]",Hawker Centre
67,Blk 527 Ang Mo Kio Ave 10,560527,"[1.37296192233697, 103.854459558641]",Hawker Centre
68,Blk 538 Bedok North Street 3,460538,"[1.3317967549097, 103.925082241506]",Hawker Centre
69,Blk 58 New Upper Changi Road,461058,"[1.32411610372005, 103.94115382948]",Hawker Centre
70,Blk 6 Tanjong Pagar Plaza,081006,"[1.27655722013369, 103.843213381984]",Hawker Centre
71,Blk 628 Ang Mo Kio Ave 4,560628,"[1.38102494789277, 103.840682373797]",Hawker Centre
72,Blk 630 Bedok Reservoir Road,470630,"[1.33315929924682, 103.914053976702]",Hawker Centre
73,Blk 69 Geylang Bahru,330069,"[1.32139947024504, 103.870046130327]",Hawker Centre
74,Blk 7 Empress Road,260007,"[1.31624574394049, 103.805636419935]",Hawker Centre
75,Blk 724 Ang Mo Kio Ave 6,560724,"[1.3721974302141, 103.846519285658]",Hawker Centre
76,Blk 726 Clementi West Street 2,120726,"[1.30378203325462, 103.764264494666]",Hawker Centre
77,Blk 74 Toa Payoh Lorong 4,310074,"[1.33448024685735, 103.852008662574]",Hawker Centre
78,Blk 75 Toa Payoh Lorong 5,310075,"[1.33598912959849, 103.852992935608]",Hawker Centre
79,Blk 79 Redhill Lane,150079,"[1.2878470282227, 103.818349792057]",Hawker Centre
80,Blk 79 Telok Blangah Drive,100079,"[1.27326473734681, 103.807628150162]",Hawker Centre
81,Blk 80 Circuit Road,370080,"[1.32784930588896, 103.887121606321]",Hawker Centre
82,Blk 82 Telok Blangah Drive,100082,"[1.27384970608029, 103.807947392332]",Hawker Centre
83,Blk 84 Marine Parade Central,440084,"[1.30229655567278, 103.906343833939]",Hawker Centre
84,Blk 85 Bedok North Street 4,460085,"[1.33205777600468, 103.938715022935]",Hawker Centre
85,Blk 85 Redhill Lane,150085,"[1.28733083695868, 103.818338966038]",Hawker Centre
86,Blk 89 Circuit Road,370089,"[1.32344534381527, 103.885449297065]",Hawker Centre
87,Blk 90 Whampoa Drive,320090,"[1.32294313245692, 103.855137783543]",Hawker Centre
88,Blk 93 Toa Payoh Lorong 4,310093,"[1.33841734487834, 103.849484966375]",Hawker Centre
89,Blks 13/14 Haig Road,430013,"[1.31510752106275, 103.895587944619]",Hawker Centre
90,Blks 160/162 Ang Mo Kio Ave 4,560160,"[1.37448917974104, 103.839214379209]",Hawker Centre
91,Blks 1A/ 2A/ 3A Commonwealth Drive,141001,"[1.2997133011135, 103.797875529439]",Hawker Centre
92,Blks 2 & 3 Changi Village Road,500002,"[1.38917686779496, 103.988327815796]",Hawker Centre
93,Blks 20/21 Marsiling Lane,730020,"[1.44339444325541, 103.776967080069]",Hawker Centre
94,Blks 221 A/B Boon Lay Place,641221,"[1.3451690476544, 103.71282750246]",Hawker Centre
95,Blks 22A/B Havelock Road,161022,"[1.28793145242331, 103.829634832006]",Hawker Centre
96,Blks 79/79A Circuit Road,370079,"[1.32644996893671, 103.885043552853]",Hawker Centre
97,Blks 91/92 Whampoa Drive,320091,"[1.32329964812853, 103.854201295473]",Hawker Centre
98,Chinatown Market,050335,"[1.28223521144332, 103.843177640795]",Hawker Centre
99,Chong Pang Market & Food Centre,760104,"[1.43152673197927, 103.828419857888]",Hawker Centre
100,Hong Lim Market & Food Centre,051531,"[1.28529507922093, 103.84582428341]",Hawker Centre
101,Kovan Market & Food Centre,530209,"[1.35909726707662, 103.886062250482]",Hawker Centre
102,Pek Kio Market & Food Centre,211041,"[1.31615998535297, 103.850225127005]",Hawker Centre
103,People's Park Food Centre,050032,"[1.28485860802646, 103.842578771054]",Hawker Centre
104,Tekka Market,210665,"[1.30617705325622, 103.85061131325]",Hawker Centre
105,REPUBLIC HOTELS & RESORTS LIMITED,169663,"[1.29028193417518, 103.835147954372]",Eating Establishment
106,M.K. RAMA PTE LTD,208279,"[1.30811201835075, 103.854139684225]",Eating Establishment
107,GRAND PARK PROPERTY PTE. LTD.,179809,"[1.29262894681757, 103.85012392484]",Eating Establishment
108,MILLENIA PRIVATE LIMITED,038982,"[1.29352504746137, 103.858774748555]",Eating Establishment
109,BCH HOTEL INVESTMENT PTE LTD,188966,"[1.29845047417026, 103.854897087094]",Eating Establishment
110,RCMS PROPERTIES PTE LTD,039799,"[1.29071831101807, 103.860047263796]",Eating Establishment
111,SUNTEC SINGAPORE INTERNATIONAL CONVENTION & EXHIBITION SERVICES PTE. LTD.,039593,"[1.29350132535558, 103.857307495824]",Eating Establishment
112,AMARA HOTEL PROPERTIES PTE LTD?,088539,"[1.27493474799152, 103.843500110324]",Eating Establishment
113,RC HOTELS (PTE.) LTD,178882,"[1.29331109246834, 103.853382475099]",Eating Establishment
114,BEACH ROAD HOTEL (1886) LTD.,189673,"[1.29509740789339, 103.85406834457]",Eating Establishment
115,YIP KWOK HOONG,160060,"[1.28441315829599, 103.833100235201]",Eating Establishment
116,HOTEL MARINA CITY PRIVATE LIMITED?,039594,"[1.29103980256765, 103.857623532359]",Eating Establishment
117,GOODWOOD PARK HOTEL LIMITED,228221,"[1.30771173944605, 103.834556167895]",Eating Establishment
118,OVERSEAS UNION ENTERPRISE LTD,238867,"[1.30206450528712, 103.836340953748]",Eating Establishment
119,HOTEL PROPERTIES LIMITED,238883,"[1.30600944831127, 103.829648763915]",Eating Establishment
120,YIP KWOK HOONG,160067,"[1.28354723069379, 103.833093586708]",Eating Establishment
121,LIM ENG PENG @ TAY SUAN ENG,575710,"[1.35884114756586, 103.836938065119]",Eating Establishment
122,PRECIOUS TREASURE PTE LTD,049178,"[1.28619323656466, 103.852970349806]",Eating Establishment
123,EASTWEST CURRY HOUSE PTE. LTD.,128454,"[1.31162410373775, 103.753591809438]",Eating Establishment
124,FRIENDS CATERING SERVICES PTE. LTD.,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
125,MOON RIVER INTERNATIONAL PTE. LTD.,109762,"[1.2830212046691, 103.810473680086]",Eating Establishment
126,PURPLE SAGE GROUP PTE. LTD.,128355,"[1.31195798726689, 103.754053594814]",Eating Establishment
127,CAFE GALILEE PTE. LTD.,619828,"[1.33154119357883, 103.713174340006]",Eating Establishment
128,LIM KWEE HIN,619336,"[1.30859345523909, 103.722316829054]",Eating Establishment
129,786 BANGALIANA PTE. LTD.,128460,"[1.31313063790114, 103.753822427676]",Eating Establishment
130,933 PTE. LTD.,619336,"[1.30859345523909, 103.722316829054]",Eating Establishment
131,RASEL CATERING SINGAPORE PTE. LTD.,128432,"[1.31245573139336, 103.750546610667]",Eating Establishment
132,TIM'S FINE CATERING SERVICES PTE. LTD.,128454,"[1.31162410373775, 103.753591809438]",Eating Establishment
133,ELSIE'S KITCHEN CATERING SERVICES PTE. LTD,618780,"[1.33331636456401, 103.713402142761]",Eating Establishment
134,CATERING SOLUTIONS PTE. LTD.,637051,"[1.24347017858773, 103.611319049976]",Eating Establishment
135,THREE BOND JING HUA PTE. LTD.,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
136,THOMSON CATERING PTE. LTD.,619336,"[1.30859345523909, 103.722316829054]",Eating Establishment
137,SHEREEN'S KITCHEN (SK) PTE. LTD,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
138,UFS FOOD INDUSTRIES PTE. LTD.,128460,"[1.31313063790114, 103.753822427676]",Eating Establishment
139,STERLING TRENDS & CONCEPTS PTE. LTD.,128415,"[1.31470287073944, 103.749193956664]",Eating Establishment
140,CITYVIEW PLACE HOLDINGS PTE LTD,098374,"[1.24616549399892, 103.842428139319]",Eating Establishment
141,ERRAWATY BINTE WAHID,128455,"[1.31167527102714, 103.753662578042]",Eating Establishment
142,MAA TRADING PTE LTD,128455,"[1.31167527102714, 103.753662578042]",Eating Establishment
143,QILE PTE. LTD.,637780,"[1.31184464885092, 103.632138298985]",Eating Establishment
144,SHIRAZ FNB PTE. LTD.,619336,"[1.30859345523909, 103.722316829054]",Eating Establishment
145,TAN CHEE HOON,637780,"[1.31184464885092, 103.632138298985]",Eating Establishment
146,BOTAK JOE CENTER KITCHEN PTE. LTD.,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
147,SEMMY'S CATERING PTE. LTD.,619336,"[1.30859345523909, 103.722316829054]",Eating Establishment
148,I'S-POT CUISINE PTE. LTD.,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
149,RESORTS WORLD AT SENTOSA PTE. LTD.,098269,"[1.25531954546872, 103.82046852826]",Eating Establishment
150,S&S UNITED FOOD SERVICES PTE. LTD.,637780,"[1.31184464885092, 103.632138298985]",Eating Establishment
151,Haliza Binti Halid,619626,"[1.32980576822773, 103.711389159779]",Eating Establishment
152,PERIASAMY KALIMUTHU,619626,"[1.32980576822773, 103.711389159779]",Eating Establishment
153,CONTINENTAL DELIGHT CATERING SERVICES PTE. LTD.,618780,"[1.33331636456401, 103.713402142761]",Eating Establishment
154,RICHFOOD CATERING PTE. LTD.,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
155,BBE.SG PTE. LTD,128454,"[1.31162410373775, 103.753591809438]",Eating Establishment
156,SENTOSA LEISURE MANAGEMENT PTE LTD,099956,"[1.25083607185038, 103.827260816118]",Eating Establishment
157,RASHIDA EATING HOUSE (S) PTE. LTD.,637752,"[1.31214553272707, 103.631208295985]",Eating Establishment
158,MA TRADING & FOOD PTE. LTD.,128454,"[1.31162410373775, 103.753591809438]",Eating Establishment
159,TIM'S GOURMET CATERING PRIVATE LIMITED,128454,"[1.31162410373775, 103.753591809438]",Eating Establishment
160,FUS'ZIN PALATE CATERING PTE LTD,658080,"[1.33852440962067, 103.757089739355]",Eating Establishment
161,DHANU SHRI RESTAURANT & CATERING PTE. LTD.,618823,"[1.33562595600302, 103.711301559581]",Eating Establishment
162,THE GRANARY PTE. LTD.,369972,"[1.33524663635202, 103.88500839887]",Eating Establishment
163,HAIG ROAD PUTU PIRING PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
164,MANNA POT CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
165,HEZOM FOODS (PTE.) LTD.,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
166,PUAN KENG HOON,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
167,TEAM CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
168,SPORTS CATERING SERVICES PTE. LTD.,397629,"[1.30621357376497, 103.876180037186]",Eating Establishment
169,CURRY POT CATERING PTE. LTD.,369645,"[1.33497399749271, 103.884247029231]",Eating Establishment
170,DELIZIO CATERING PTE. LTD.,369972,"[1.33524663635202, 103.88500839887]",Eating Establishment
171,HUNGRY BBQ PRIVATE LIMITED,389935,"[1.32093885182726, 103.89000375675]",Eating Establishment
172,TAN CHING HAI,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
173,FOUR SEASONS CATERING PTE LTD,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
174,QI JI PTE LTD,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
175,CHILLI PADI NONYA RESTAURANT PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
176,TAM KAH SHARK'S FIN PTE. LTD.,389909,"[1.32146999959739, 103.889756739206]",Eating Establishment
177,TAN TAI ZHENG,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
178,GLORY RESTAURANT & CATERING PTE. LTD.,389911,"[1.32107960939702, 103.889099742264]",Eating Establishment
179,SPICE VILLAGE CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
180,NOSH CUISINE PTE. LTD.,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
181,OR CHEE YONG,389908,"[1.32142905857823, 103.889077520019]",Eating Establishment
182,LEE BEE KIEN,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
183,TUNG LOK MILLENNIUM PTE LTD,486150,"[1.33340691176167, 103.959116408563]",Eating Establishment
184,KAY FIERY HOLDINGS PTE. LTD.,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
185,EATZ CATERING SERVICES PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
186,CATERING CULTURE PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
187,FORTE ( F&B ) PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
188,SRM RESTAURANT & CATERING SERVICES PTE. LTD.,389935,"[1.32093885182726, 103.89000375675]",Eating Establishment
189,THE CATERERS PTE LTD,389911,"[1.32107960939702, 103.889099742264]",Eating Establishment
190,SINGAPORE CORPORATION OF REHABILITATIVE ENTERPRISES,506980,"[1.35803391109405, 103.971332451878]",Eating Establishment
191,KONEKO LLP,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
192,QILIN CATERING PTE. LTD.,389935,"[1.32093885182726, 103.89000375675]",Eating Establishment
193,GOH WEE LIAM,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
194,SRISUN PRATA . COM FOOD HOLDING'S PTE. LTD.,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
195,CHEONG LOK FOOD MARKETING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
196,F C CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
197,CHIN CHEE LEONG,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
198,THE SHEPHERD'S PIE LLP,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
199,SINGAPORE NUTRI-DIET INDUSTRIES PTE.LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
200,THE MASALA HUT PRIVATE LIMITED,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
201,PASUMPON RESTAURANT & CATERING PTE. LTD.,389910,"[1.32113034497287, 103.889964773128]",Eating Establishment
202,K G CATERING PTE. LTD,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
203,RONG YI KEE PTE. LTD.,389911,"[1.32107960939702, 103.889099742264]",Eating Establishment
204,GOLDAZ CATERING PTE LTD,389910,"[1.32113034497287, 103.889964773128]",Eating Establishment
205,AM CHEF CATERING PTE.LTD.,389909,"[1.32146999959739, 103.889756739206]",Eating Establishment
206,MODERN FEASTS PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
207,CREATIVE EATERIES EXPO PTE LTD,486150,"[1.33340691176167, 103.959116408563]",Eating Establishment
208,SMILING ORCHID (SINGAPORE) PRIVATE LIMITED,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
209,TAN HNG KHIN,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
210,NOORJAHAN BTE ALAUDIN,389934,"[1.32088605954535, 103.88910955538]",Eating Establishment
211,ORCHID THAI PTE. LTD.,389908,"[1.32142905857823, 103.889077520019]",Eating Establishment
212,MEGU CATERING CONCEPTS PTE. LTD.,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
213,TEO HENG WAH,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
214,KATE'S FOOD SUPPLIES PTE LTD,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
215,CHENNAI PONNUSAMY HOTEL & RESTAURANT PTE. LTD.,389886,"[1.3216732833467, 103.889868331868]",Eating Establishment
216,STYLZE CATERING PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
217,ABDUL RAJAK BIN AHMAD,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
218,ZAINUDDIN BIN SAJAT,408896,"[1.32802291966224, 103.893568010662]",Eating Establishment
219,HJ. MAIMUNAH MANUFACTURING AND CATERING PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
220,GUSTOS PTE. LTD.,368330,"[1.33579770019297, 103.882542499583]",Eating Establishment
221,ANGEL'S RESTAURANT PTE LTD,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
222,HENG AIK HUA,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
223,SEAFOOD PARK PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
224,TAN HUNY,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
225,KCK FOOD CATERING PTE. LTD.,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
226,FIRST CUISINE CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
227,NONYA MANIS CATERERS PTE LTD,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
228,CHERISH DELIGHTS PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
229,MAPOLLO CATERING PTE LTD,486121,"[1.3370795534655, 103.946094631182]",Eating Establishment
230,CHILLI API CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
231,CHEO BOON CHUAN,539204,"[1.35440547551962, 103.893202545758]",Eating Establishment
232,LEE CHOO CHET,539199,"[1.35559138423561, 103.893705155896]",Eating Establishment
233,ONG SWEE TEN,576710,"[1.37600517758782, 103.82871572628]",Eating Establishment
234,OH CHONG CHING,536961,"[1.36770538695169, 103.89015900262]",Eating Establishment
235,LEE WEE & BROTHERS' FOODSTUFF PTE. LTD.,539208,"[1.35342760032839, 103.892785658593]",Eating Establishment
236,LEE WEE & BROTHERS' FOODSTUFF PTE. LTD.,536959,"[1.36764826450171, 103.890269975678]",Eating Establishment
237,LIN MEE LAN,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
238,BROSON CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
239,ROYAL CATERING SERVICES PTE LTD,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
240,MASAKAN SHAIK SABRI PTE LTD,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
241,SIAU SU GIAN,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
242,MUM'S KITCHEN CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
243,TECK EE FOOD HOLDINGS PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
244,ZAINAL ABIDIN BIN MOHAMAD,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
245,JESSIE CATERING PTE. LTD.,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
246,TAN KOON ENG,486350,"[1.33684580683923, 103.947430902113]",Eating Establishment
247,M.A.C.R.O.S & CO PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
248,CHUN HONG CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
249,SELECT CATERING SERVICES PTE. LTD.,758099,"[1.4569070276906, 103.802584664145]",Eating Establishment
250,STAMFORD CATERING SERVICES PTE LTD,758099,"[1.4569070276906, 103.802584664145]",Eating Establishment
251,SOON YUAN VEGETARIAN FOOD PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
252,AISHWARYA RESTAURANT & CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
253,WONDER RICE PTE. LTD.,758297,"[1.46410448094736, 103.811458452691]",Eating Establishment
254,Thyme Food & Services Pte Ltd,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
255,UNIVERSAL CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
256,FIVE STARS FOOD PTE. LTD.,758297,"[1.46410448094736, 103.811458452691]",Eating Establishment
257,TRPTI FOOD PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
258,LEE MEI LI,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
259,WANG CHUN HONG,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
260,HE YUAN FANG SHANGHAI CUISINE PTE LTD,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
261,DES KITCHEN PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
262,OBAYED HOLDINGS PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
263,EE HUI FOOD CATERING PTE. LTD.,758237,"[1.46421462568933, 103.806022769706]",Eating Establishment
264,AMG FOOD PTE. LTD.,738322,"[1.44860862935378, 103.809140883895]",Eating Establishment
265,VS CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
266,MAESTROSOFT PTE LTD,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
267,CJS CATERING PTE LTD,758297,"[1.46410448094736, 103.811458452691]",Eating Establishment
268,CMS RESTAURANTS & CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
269,LUXE CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
270,SLS VEGETARIAN FOOD PTE. LTD.,738322,"[1.44860862935378, 103.809140883895]",Eating Establishment
271,BRINDA'S PTE LTD,738322,"[1.44860862935378, 103.809140883895]",Eating Establishment
272,SINAR F & B PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
273,K&K FOOD TRADING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
274,AL-JAILANI HOLDINGS PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
275,WHITE BEEHOON RESTAURANT PTE LTD,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
276,AMRA CATERING PTE. LTD.,757437,"[1.46303567112012, 103.814247382214]",Eating Establishment
